trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
2009/4/3,-0.010718207,0.002085239,-0.000044204,-0.004248802,-0.00165421,-0.003387929,0.000061,0.001934996,-0.001257163,0.001551965,-0.001178228,-0.005022965
2009/4/7,0.007443803,0.011105162,-0.001247007,0.000444187,-0.001521935,0.014628133,0.000061,0.007946345,3.13502E-05,0.001168913,-0.003002658,0.005828309
2009/4/8,-0.035142037,0.003823919,-0.002399047,0.005021485,0.002462513,0.002357771,0.000061,0.004432218,-0.000233255,0.003932359,-0.001306232,0.005527115
2009/4/9,0.014808001,0.006485215,-0.000464355,0.002036625,-0.007381193,-0.001616678,0.000061,0.005718685,-0.000224902,0.002058309,-0.007155759,0.002030113
2009/4/10,0.034048621,-0.002927162,-0.009792517,0.002885621,0.0023071,-0.008265807,0.000061,-0.003928307,-0.005939549,-0.000398872,0.005141118,-0.005840913
2009/4/13,0.023158354,-0.011146136,-0.00332769,-0.01612887,0.014927379,-0.008082181,0.000061,-0.004965943,-0.002300766,-0.005506649,0.008098787,-0.00582152
2009/4/14,0.012518447,0.007986691,0.004309336,0.008038189,-0.010222146,-0.001508377,0.000061,0.007646471,0.00226909,0.006833441,-0.004243073,-0.000686685
2009/4/15,0.011947198,0.005949658,0.001392222,0.000154258,-0.005083278,0.004578272,0.000061,0.003104513,9.23131E-05,-0.000739119,0.000929956,0.000851884
2009/4/16,0.001841833,0.001996907,0.002575398,-0.005737966,0.00356014,0.002556977,0.000061,-0.000809619,0.002882273,-0.003895777,-0.000370587,0.001822122
2009/4/17,-0.014291485,-0.001003337,0.003463783,0.004134307,-0.009966526,0.00956213,0.000061,-0.001266808,0.003259788,-0.001213247,-0.005506118,0.009561162
2009/4/20,0.026478323,0.001904622,0.003780776,-0.009736977,-0.003383229,0.003716104,0.000061,0.002738264,0.006784203,-0.010402819,-0.004997213,0.005169842
2009/4/21,-0.005564816,0.008571367,0.007269441,0.001031491,-0.01271879,0.012595464,0.000061,0.005944507,0.005564971,-0.001500579,-0.012898003,0.00633691
2009/4/22,-0.044296949,-0.005957385,0.002243054,0.003677677,0.002722772,0.009585157,0.000061,-0.000413791,-0.001798074,0.007475774,-0.003059581,0.005099445
